OBJECTID,RAIN_ID,DATE,VILLAGE,MOO,TAMBON,DISTRICT,PROVINCE,REGION,UTM_E,UTM_N,ZONE,RAIN_24_HR,RAIN_3_DAY,WEATHER
7410,15074,30/3/2022 0:00,คลองหิน,1,ห้วยทับมอญ,เขาชะเมา,ระยอง,ภาคตะวันออก,790991,1435324,47,0,0,ท้องฟ้าครึ้ม เมื่อวานมีฝนตก
7411,3179,24/7/2021 0:00,คลองตะเคียน,5,ทุ่งมหาเจริญ,วังน้ำเย็น,สระแก้ว,ภาคตะวันออก,822424,1491720,47,0,0,ท้องฟ้าครึ้ม มีฝนตกเล็กน้อย
7412,3178,24/7/2021 0:00,เขาใหญ่,4,พลวงทอง,บ่อทอง,ชลบุรี,ภาคตะวันออก,785913,1465031,47,0,0,ท้องฟ้าครึ้ม มีฝนตกเล็กน้อย
7413,2037,28/6/2021 0:00,คลองหิน,1,ห้วยทับมอญ,เขาชะเมา,ระยอง,ภาคตะวันออก,790991,1435324,47,0,0,ท้องฟ้าครึ้ม ไม่มีฝนตก
7414,13301,17/2/2022 0:00,ท่าช้างใต้,12,หมูสี,ปากช่อง,นครราชสีมา,ภาคตะวันออกเฉียงเหนือ,761562,1609223,47,0,0,ท้องฟ้าครึ้ม เมื่อวานมีฝนตก
7415,3171,24/7/2021 0:00,ไสอ้อย,6,เทพราช,สิชล,นครศรีธรรมราช,ภาคใต้,596131,980293,47,0,0,ท้องฟ้าครึ้ม ไม่มีฝนตก
7416,3170,24/7/2021 0:00,ทุ่ง,1,เขาคราม,เมืองกระบี่,กระบี่,ภาคใต้,482158,907734,47,0,0,ท้องฟ้าครึ้ม ไม่มีฝนตก
7417,3173,24/7/2021 0:00,บางซอย,7,คุระ,คุระบุรี,พังงา,ภาคใต้,441468,1022544,47,0,0,ท้องฟ้าครึ้ม ไม่มีฝนตก
7418,3172,24/7/2021 0:00,ป่าตอ,8,เขาปู่,ศรีบรรพต,พัทลุง,ภาคใต้,591839,850081,47,0,0,ท้องฟ้าครึ้ม ไม่มีฝนตก
7419,3175,24/7/2021 0:00,เสี้ยว, ,นาดี,นาดี,ปราจีนบุรี,ภาคตะวันออก,801229,1563895,47,0,0,ท้องฟ้าครึ้ม มีฝนตกเล็กน้อย
7420,3174,24/7/2021 0:00,แก่งใหญ่,12,แก่งดินสอ,นาดี,ปราจีนบุรี,ภาคตะวันออก,829258,1560721,47,0,0,ท้องฟ้าครึ้ม มีฝนตกเล็กน้อย
7421,3177,24/7/2021 0:00,คอแล,4,หนองบอน,บ่อไร่,ตราด,ภาคตะวันออก,876431,1399457,47,0,0,ท้องฟ้าครึ้ม มีฝนตกเล็กน้อย
